network,station id,start wateryear,end wateryear, lat,lon,elev,element,state,county,Subwatershed,site_name,site_info_link,cdbs_id,shef_id,gmt_offset
snotel,373,1999,2017,41.75,-117.53,6930,Snow Water Equivalent,NV,Humboldt,Cabin Creek-Martin Creek,Buckskin Lower,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=373,17H02S  ,BKLN2,8
snotel,445,1999,2017,41.97,-118.19,6260,Snow Water Equivalent,NV,Humboldt,Sage Creek,Disaster Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=445,18H01S  ,DSPN2,8
snotel,476,1999,2017,41.82,-116.1,7031,Snow Water Equivalent,NV,Elko,Fawn Creek-Owyhee River,Fawn Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=476,16H08S  ,FWCN2,8
snotel,498,1999,2017,41.67,-117.57,8503,Snow Water Equivalent,NV,Humboldt,Indian Creek,Granite Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=498,17H08S  ,GRPN2,8
snotel,527,1999,2017,40.94,-115.1,8163,Snow Water Equivalent,NV,Elko,Winchell Creek-The Slough,Hole-in-Mountain,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=527,15J15S  ,HIMN2,8
snotel,569,1999,2017,41.52,-117.63,6395,Snow Water Equivalent,NV,Humboldt,Lamance Creek-Big Cottonwood Creek,Lamance Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=569,17H07S  ,LMCN2,8
snotel,570,1999,2017,40.64,-115.38,8051,Snow Water Equivalent,NV,Elko,Thomas Creek-Lamoille Creek,Lamoille #3,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=570,15J06S  ,LMLN2,8
snotel,652,1999,2017,39.32,-119.89,8801,Snow Water Equivalent,NV,Washoe,Hidden Valley-Steamboat Creek,Mt Rose Ski Area,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=652,19K07S  ,MRSN2,8
snotel,698,1999,2017,41.87,-115.25,8330,Snow Water Equivalent,NV,Elko,Upper Big Flat Creek,Pole Creek R.S.,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=698,15H14S  ,PRSN2,8
snotel,811,1999,2017,41.23,-116.03,6325,Snow Water Equivalent,NV,Elko,Upper Taylors Canyon Creek,Taylor Canyon,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=811,15H09S  ,TACN2,8
snotel,849,1999,2017,39.13,-114.96,9200,Snow Water Equivalent,NV,White Pine,Holt Creek,Ward Mountain,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=849,14K05S  ,WDMN2,8
snotel,343,1999,2017,42.08,-123.34,5130,Snow Water Equivalent,OR,Josephine,Sturgis Fork Carberry Creek,Bigelow Camp,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=343,23G15S  ,BGCO3,8
snotel,477,1999,2017,42.71,-118.63,7660,Snow Water Equivalent,OR,Harney,Fish Creek,Fish Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=477,18G02S  ,FCKO3,8
snotel,479,1999,2017,42.38,-122.35,4660,Snow Water Equivalent,OR,Jackson,Upper North Fork Little Butte Creek,Fish Lk.,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=479,22G14S  ,FISO3,8
snotel,759,1999,2017,42.75,-118.69,6990,Snow Water Equivalent,OR,Harney,Mud Creek,Silvies,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=759,18G01S  ,SLVO3,8
snotel,812,1999,2017,45.08,-117.55,5740,Snow Water Equivalent,OR,Baker,South Fork Catherine Creek,Taylor Green,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=812,17D07S  ,TYLO3,8
snotel,329,1999,2017,39.14,-111.56,7990,Snow Water Equivalent,UT,Sanpete,Headwaters Twelvemile Creek,Beaver Dams,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=329,11K13S  ,BVDU1,8
snotel,333,1999,2017,41.38,-111.92,5972,Snow Water Equivalent,UT,Weber,Cutler Creek-North Fork Ogden River,Ben Lomond Trail,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=333,11H30S  ,BLTU1,8
snotel,348,1999,2017,38.68,-111.6,9414,Snow Water Equivalent,UT,Sevier,U M Creek,Black Flat-U.M. Ck,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=348,11L04S  ,BFTU1,8
snotel,390,1999,2017,37.66,-112.74,9607,Snow Water Equivalent,UT,Iron,Upper Mammoth Creek,Castle Valley,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=390,12M13S  ,CVYU1,8
snotel,396,1999,2017,40.77,-110.01,10499,Snow Water Equivalent,UT,Duchesne,East Fork Whiterocks River,Chepeta,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=396,10J43S  ,CWHU1,8
snotel,475,1999,2017,38.77,-111.68,9623,Snow Water Equivalent,UT,Sevier,Gooseberry Creek,Farnsworth Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=475,11L01S  ,FRLU1,8
snotel,481,1999,2017,40.72,-110.47,10943,Snow Water Equivalent,UT,Duchesne,Garfield Creek,Five Points Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=481,10J26S  ,FPLU1,8
snotel,557,1999,2017,38.48,-112.39,9101,Snow Water Equivalent,UT,Piute,Mill Creek,Kimberly Mine,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=557,12L06S  ,KMNU1,8
snotel,572,1999,2017,38.48,-109.27,9578,Snow Water Equivalent,UT,Grand,Horse Creek-Mill Creek,Lasal Mountain,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=572,09L03S  ,LSMU1,8
snotel,579,1999,2017,40.86,-110.8,9133,Snow Water Equivalent,UT,Summit,Willow Creek-Bear River,Lily Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=579,10J35S  ,LLKU1,8
snotel,621,1999,2017,38.3,-112.44,8705,Snow Water Equivalent,UT,Beaver,Merchant Creek,Merchant Valley,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=621,12L12S  ,MVYU1,8
snotel,626,1999,2017,37.57,-112.84,9827,Snow Water Equivalent,UT,Iron,Midway Valley-Midway Creek,Midway Valley,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=626,12M23S  ,MDVU1,8
snotel,686,1999,2017,39.93,-111.63,8044,Snow Water Equivalent,UT,Utah,Peteetneet Creek,Payson R.S.,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=686,11K52S  ,PYSU1,8
snotel,720,1999,2017,40.55,-110.69,7886,Snow Water Equivalent,UT,Duchesne,South Fork Rock Creek,Rock Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=720,10J18S  ,RCKU1,8
snotel,723,1999,2017,40.44,-112.22,8704,Snow Water Equivalent,UT,Tooele,Settlement Canyon,Rocky Basin-Settleme,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=723,12J06S  ,RBSU1,8
snotel,853,1999,2017,37.58,-112.9,9203,Snow Water Equivalent,UT,Iron,Upper Deep Creek,Webster Flat,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=853,12M03S  ,WFLU1,8
snotel,352,1999,2017,47.35,-120.68,4240,Snow Water Equivalent,WA,Chelan,Upper Peshastin Creek,Blewett Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=352,20B02S  ,BPAW1,8
snotel,376,1999,2017,48.69,-117.18,5000,Snow Water Equivalent,WA,Pend Oreille,East Branch Le Clerc Creek,Bunchgrass Mdw,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=376,17A01S  ,BGMW1,8
snotel,418,1999,2017,47.02,-121.46,5800,Snow Water Equivalent,WA,Pierce,Silver Creek-White River,Corral Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=418,21B13S  ,COPW1,8
snotel,420,1999,2017,47.28,-121.67,3200,Snow Water Equivalent,WA,King,North Fork Green River,Cougar Mountain,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=420,21B42S  ,CUMW1,8
snotel,507,1999,2017,47.28,-120.49,5390,Snow Water Equivalent,WA,Kittitas,Upper Naneum Creek,Grouse Camp,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=507,20B11S  ,GRCW1,8
snotel,515,1999,2017,48.72,-120.66,6490,Snow Water Equivalent,WA,Okanogan,Canada,Harts Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=515,20A05S  ,HRPW1,8
snotel,672,1999,2017,47.37,-121.44,4030,Snow Water Equivalent,WA,King,Upper South Fork Snoqualmie River,Olallie Meadows,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=672,21B55S  ,OMWW1,8
snotel,692,1999,2017,46.62,-121.39,5800,Snow Water Equivalent,WA,Yakima,Clear Creek,Pigtail Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=692,21C33S  ,PGPW1,8
snotel,699,1999,2017,47.99,-120.57,3590,Snow Water Equivalent,WA,Chelan,Lake Creek-Entiat River,Pope Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=699,20B24S  ,PPRW1,8
snotel,711,1999,2017,48.52,-120.74,4890,Snow Water Equivalent,WA,Chelan,Canada,Rainy Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=711,20A09S  ,RAIW1,8
snotel,728,1999,2017,48.66,-119.84,4460,Snow Water Equivalent,WA,Okanogan,Canada,Salmon Meadows,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=728,19A02S  ,SAMW1,8
snotel,788,1999,2017,47.27,-121.34,3850,Snow Water Equivalent,WA,King,Sunday Creek,Stampede Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=788,21B10S  ,SMPW1,8
snotel,791,1999,2017,47.75,-121.09,3950,Snow Water Equivalent,WA,King,Upper Tye River,Stevens Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=791,21B01S  ,SVNW1,8
snotel,824,1999,2017,46.12,-117.85,5530,Snow Water Equivalent,WA,Columbia,Wolf Creek,Touchet,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=824,17C05S  ,TOHW1,8
snotel,841,1999,2017,47.29,-120.37,4330,Snow Water Equivalent,WA,Chelan,Stemilt Creek,Upper Wheeler,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=841,20B07S  ,UPWW1,8
snotel,863,1999,2017,46.64,-121.38,4440,Snow Water Equivalent,WA,Yakima,Clear Creek,White Pass E.S.,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=863,21C28S  ,WHPW1,8
snotel,314,1999,2017,43.95,-110.45,7030,Snow Water Equivalent,WY,Teton,Lower Pacific Creek,Base Camp,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=314,10F02S  ,BSCW4,8
snotel,325,1999,2017,43.89,-107.06,8200,Snow Water Equivalent,WY,Johnson,Lower North Fork Red Fork Powder River,Bear Trap Meadow,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=325,07F01S  ,BTNW4,8
snotel,326,1999,2017,44.94,-109.57,9360,Snow Water Equivalent,WY,Park,Beartooth Creek,Beartooth Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=326,09E10S  ,BLTW4,8
snotel,350,1999,2017,44.38,-109.79,9780,Snow Water Equivalent,WY,Park,Sheep Creek-North Fork Shoshone River,Blackwater,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=350,09E13S  ,BLWW4,8
snotel,367,1999,2017,41.36,-106.23,10240,Snow Water Equivalent,WY,Albany,North Fork Little Laramie River,Brooklyn Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=367,06H13S  ,BKLW4,8
snotel,377,1999,2017,44.79,-107.53,7880,Snow Water Equivalent,WY,Sheridan,Lower North Tongue River,Burgess Junction,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=377,07E33S  ,BRJW4,8
snotel,384,1999,2017,44.72,-110.51,7870,Snow Water Equivalent,WY,Park,Cascade Creek-Yellowstone River,Canyon,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=384,10E03S  ,CANW4,8
snotel,449,1999,2017,41.3,-107.15,8880,Snow Water Equivalent,WY,Carbon,North Fork Savery Creek,Divide Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=449,07H05S  ,DVDW4,8
snotel,468,1999,2017,43.01,-109.76,9400,Snow Water Equivalent,WY,Sublette,Lower Pine Creek,Elkhart Park G.S.,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=468,09F23S  ,EKPW4,8
snotel,472,1999,2017,44.65,-109.78,9200,Snow Water Equivalent,WY,Park,Upper Sunlight Creek,Evening Star,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=472,09E11S  ,EVNW4,8
snotel,512,1999,2017,44.26,-106.98,8360,Snow Water Equivalent,WY,Johnson,Upper South Clear Creek,Hansen Sawmill,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=512,06E03S  ,HNSW4,8
snotel,544,1999,2017,42.3,-110.68,9425,Snow Water Equivalent,WY,Lincoln,East Fork Hams Fork-Hams Fork,Indian Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=544,10G22S  ,INCW4,8
snotel,554,1999,2017,42.27,-110.81,8180,Snow Water Equivalent,WY,Lincoln,West Fork Hams Fork,Kelley R.S.,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=554,10G12S  ,KLLW4,8
snotel,560,1999,2017,43.86,-109.32,9550,Snow Water Equivalent,WY,Park,Upper Wood River,Kirwin,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=560,09F24S  ,KRWW4,8
snotel,597,1999,2017,43.17,-110.14,8240,Snow Water Equivalent,WY,Sublette,Miner Creek-North Beaver Creek,Loomis Park,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=597,10F16S  ,LOPW4,8
snotel,616,1999,2017,44.3,-109.24,8760,Snow Water Equivalent,WY,Park,Carter Creek-South Fork Shoshone River,Marquette,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=616,09E09S  ,MRQW4,8
snotel,676,1999,2017,43.66,-109.01,8975,Snow Water Equivalent,WY,Hot Springs,Middle Fork Owl Creek,Owl Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=676,08F01S  ,OLWW4,8
snotel,683,1999,2017,44.73,-109.91,9400,Snow Water Equivalent,WY,Park,Little Lamar River-Lamar River,Parker Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=683,09E07S  ,PRKW4,8
snotel,716,1999,2017,42.57,-106.09,8400,Snow Water Equivalent,WY,Natrona,Upper Deer Creek,Reno Hill,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=716,06G02S  ,RNHW4,8
snotel,731,1999,2017,41.46,-106.28,10050,Snow Water Equivalent,WY,Carbon,Deep Creek-Rock Creek,Sand Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=731,06H23S  ,SNLW4,8
snotel,765,1999,2017,42.49,-110.53,8060,Snow Water Equivalent,WY,Sublette,Upper South Piney Creek,Snider Basin,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=765,10G13S  ,SNIW4,8
snotel,822,1999,2017,43.75,-110.06,9580,Snow Water Equivalent,WY,Teton,Brooks Lake Creek-Wind River,Togwotee Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=822,10F09S  ,TOGW4,8
snotel,826,1999,2017,42.7,-108.9,8700,Snow Water Equivalent,WY,Fremont,Sawmill Creek,Townsend Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=826,08G07S  ,TWNW4,8
snotel,837,1999,2017,44.15,-110.22,9240,Snow Water Equivalent,WY,Teton,Plateau Creek-Snake River,Two Ocean Plateau,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=837,10E17S  ,TOPW4,8
snotel,868,1999,2017,42.82,-110.84,8380,Snow Water Equivalent,WY,Lincoln,Willow Creek,Willow Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=868,10G23S  ,WILW4,8
snotel,872,1999,2017,42.28,-105.58,7900,Snow Water Equivalent,WY,Albany,Headwaters Horseshoe Creek,Windy Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=872,05G05S  ,WNDW4,8
snotel,875,1999,2017,44.8,-109.66,7650,Snow Water Equivalent,WY,Park,Lower Crandall Creek,Wolverine,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=875,09E08S  ,WLVW4,8
snotel,878,1999,2017,43.93,-109.82,8350,Snow Water Equivalent,WY,Park,Younts Creek-South Fork Shoshone River,Younts Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=878,09F18S  ,YOUW4,8
snotel,851,1999,2017,44.4,-104.43,6520,Snow Water Equivalent,WY,Crook,Sundance Creek,Warren Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=851,04E01S  ,WRRW4,8
snotel,678,1999,2017,35.83,-105.66,8400,Snow Water Equivalent,NM,San Miguel,Panchuela Creek,Panchuela,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=678,05P02S  ,PANN5,8
snotel,1062,1999,2017,59.86,-151.32,1653,Snow Water Equivalent,AK,Kenai Peninsula,Headwaters Anchor River,Anchor River Divide,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1062,51K05S  ,ARDA2,9
snotel,1182,1999,2017,66.92,-151.53,640,Snow Water Equivalent,AK,Yukon-koyukuk,Jack White Creek-Koyukuk River,Bettles Field,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1182,51R01S  ,BFLA2,9
snotel,947,1999,2017,65.12,-146.73,2000,Snow Water Equivalent,AK,Fairbanks North Star,190405060706-Little Chena River,Little Chena Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=947,46Q02S  ,LCHA2,9
snotel,949,1999,2017,65.08,-145.87,1850,Snow Water Equivalent,AK,Fairbanks North Star,Monument Creek,Monument Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=949,45Q02S  ,MNCA2,9
snotel,948,1999,2017,65.25,-146.15,2800,Snow Water Equivalent,AK,Fairbanks North Star,Headwaters West Fork Chena River,Mt. Ryan,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=948,46Q01S  ,MTRA2,9
snotel,950,1999,2017,64.85,-146.21,3100,Snow Water Equivalent,AK,Fairbanks North Star,Rock Creek-Chena River,Munson Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=950,46P01S  ,MSOA2,9
snotel,951,1999,2017,64.95,-145.52,1640,Snow Water Equivalent,AK,Fairbanks North Star,Teuchet Creek,Teuchet Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=951,45P03S  ,TEUA2,9
snotel,428,1999,2017,39.33,-120.37,6894,Snow Water Equivalent,CA,Nevada,Rattlesnake Creek-South Yuba River,Css Lab,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=428,20K31S  ,CSSC1,8
snotel,331,1999,2017,45.15,-118.22,5150,Snow Water Equivalent,OR,Union,Upper Beaver Creek,Beaver Reservoir,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=331,18D09S  ,BVRO3,8
snotel,341,1999,2017,42.05,-122.85,6050,Snow Water Equivalent,OR,Jackson,Upper Little Applegate River,Big Red Mountain,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=341,22G21S  ,BRMO3,8
snotel,351,1999,2017,45.43,-121.86,3650,Snow Water Equivalent,OR,Clackamas,Clear Creek-Sandy River,Blazed Alder,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=351,21D33S  ,BLAO3,8
snotel,388,1999,2017,43.59,-122.06,5100,Snow Water Equivalent,OR,Deschutes,Upper Salt Creek,Cascade Summit,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=388,22F03S  ,CSTO3,8
snotel,395,1999,2017,43.23,-121.81,4850,Snow Water Equivalent,OR,Klamath,Deer Creek,Chemult Alternate,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=395,21F22S  ,CHUO3,8
snotel,398,1999,2017,45.1,-121.75,3400,Snow Water Equivalent,OR,Clackamas,Headwaters Oak Grove Fork Clackamas River,Clackamas Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=398,21D13S  ,CLLO3,8
snotel,401,1999,2017,45.19,-121.69,3810,Snow Water Equivalent,OR,Wasco,Clear Creek,Clear Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=401,21D12S  ,CLKO3,8
snotel,406,1999,2017,42.53,-122.18,5940,Snow Water Equivalent,OR,Klamath,Upper Fourmile Creek,Cold Springs Camp,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=406,22G24S  ,CSCO3,8
snotel,422,1999,2017,45.19,-118.55,4830,Snow Water Equivalent,OR,Umatilla,Middle Meadow Creek,County Line,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=422,18D08S  ,COLO3,8
snotel,440,1999,2017,44.45,-119.93,5850,Snow Water Equivalent,OR,Wheeler,Jackson Creek,Derr.,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=440,19E03S  ,DERO3,8
snotel,442,1999,2017,43.19,-122.14,5280,Snow Water Equivalent,OR,Douglas,Lake Creek,Diamond Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=442,22F18S  ,DIAO3,8
snotel,464,1999,2017,44.87,-118.11,5510,Snow Water Equivalent,OR,Baker,Rock Creek,Eilertson Meadows,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=464,18E03S  ,EIMO3,8
snotel,470,1999,2017,45.56,-118.45,3800,Snow Water Equivalent,OR,Umatilla,Iskuulpa Creek,Emigrant Springs,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=470,18D04S  ,ESPO3,8
snotel,494,1999,2017,44.76,-118.31,5410,Snow Water Equivalent,OR,Grant,Bull Run Creek,Gold Center,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=494,18E08S  ,GLDO3,8
snotel,529,1999,2017,43.67,-122.57,4930,Snow Water Equivalent,OR,Lane,Layng Creek,Holland Meadows,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=529,22F42S  ,HLMO3,8
snotel,558,1999,2017,42.72,-123.2,4340,Snow Water Equivalent,OR,Jackson,Whitehorse Creek-Cow Creek,King Mountain,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=558,23G09S  ,KIMO3,8
snotel,608,1999,2017,45.11,-119.5,5150,Snow Water Equivalent,OR,Morrow,Chapin Creek-Rock Creek,Madison Butte,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=608,19D03S  ,MDBO3,8
snotel,614,1999,2017,44.59,-121.97,2590,Snow Water Equivalent,OR,Linn,Minto Creek-North Santiam River,Marion Forks,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=614,21E04S  ,MRFO3,8
snotel,619,1999,2017,44.21,-121.87,4770,Snow Water Equivalent,OR,Lane,White Branch,Mckenzie,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=619,21E07S  ,MKZO3,8
snotel,647,1999,2017,45.27,-117.69,5760,Snow Water Equivalent,OR,Union,Mill Creek,Moss Springs,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=647,17D06S  ,MOSO3,8
snotel,651,1999,2017,45.32,-121.72,5370,Snow Water Equivalent,OR,Clackamas,Upper Salmon River,Mt Hood Test Site,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=651,21D08S  ,MTHO3,8
snotel,653,1999,2017,45.27,-117.17,7910,Snow Water Equivalent,OR,Wallowa,Upper Prairie Creek,Mt. Howard,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=653,17D18S  ,MHWO3,8
snotel,660,1999,2017,43.51,-121.98,4910,Snow Water Equivalent,OR,Klamath,Upper Crescent Creek,New Crescent Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=660,21F10S  ,NCLO3,8
snotel,671,1999,2017,44.43,-120.33,5430,Snow Water Equivalent,OR,Crook,Headwaters Ochoco Creek,Ochoco Meadows,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=671,20E02S  ,OCMO3,8
snotel,687,1999,2017,45.04,-121.93,3420,Snow Water Equivalent,OR,Clackamas,Cot Creek-Oat Grove Fork Clackamas River,Peavine Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=687,21D14S  ,PVRO3,8
snotel,706,1999,2017,42.32,-120.83,5720,Snow Water Equivalent,OR,Lake,Middle South Fork Sprague River,Quartz Mountain,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=706,20G06S  ,QRMO3,8
snotel,710,1999,2017,43.66,-122.21,2680,Snow Water Equivalent,OR,Lane,Middle Salt Creek,Railroad Overpass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=710,22F05S  ,RROO3,8
snotel,719,1999,2017,43.9,-122.03,4950,Snow Water Equivalent,OR,Lane,Roaring River-South Fork McKenzie River,Roaring River,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=719,22F43S  ,RORO3,8
snotel,721,1999,2017,44.01,-118.84,5290,Snow Water Equivalent,OR,Grant,Calamity Creek,Rock Springs,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=721,18F01S  ,RCSO3,8
snotel,729,1999,2017,43.61,-122.12,4220,Snow Water Equivalent,OR,Lane,Upper Salt Creek,Salt Creek Falls,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=729,22F04S  ,SCFO3,8
snotel,736,1999,2017,45,-117.17,5400,Snow Water Equivalent,OR,Baker,Clear Creek,Schneider Meadows,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=736,17D08S  ,SCHO3,8
snotel,743,1999,2017,45.53,-123.3,2060,Snow Water Equivalent,OR,Washington,Sain Creek-Scoggins Creek,Seine Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=743,23D02S  ,SECO3,8
snotel,745,1999,2017,42.7,-122.14,5700,Snow Water Equivalent,OR,Klamath,Sevenmile Creek,Sevenmile Marsh,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=745,22G33S  ,SVMO3,8
snotel,756,1999,2017,42.96,-121.18,5740,Snow Water Equivalent,OR,Lake,West Fork Silver Creek,Silver Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=756,21F12S  ,SVCO3,8
snotel,789,1999,2017,44.26,-119.02,5250,Snow Water Equivalent,OR,Grant,Starr Creek-Silvies River,Starr Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=789,19E07S  ,STRO3,8
snotel,794,1999,2017,42.13,-120.84,5770,Snow Water Equivalent,OR,Lake,Barnes Valley Creek,Strawberry,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=794,20G09S  ,STWO3,8
snotel,815,1999,2017,44.14,-121.64,5690,Snow Water Equivalent,OR,Deschutes,Three Creek,Three Creeks Meadow,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=815,21E13S  ,TCMO3,8
snotel,821,1999,2017,44.66,-118.43,5150,Snow Water Equivalent,OR,Baker,Upper North Fork Burnt River,Tipton,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=821,18E09S  ,TIPO3,8
snotel,478,1999,2017,47.54,-121.09,3430,Snow Water Equivalent,WA,Kittitas,Headwaters Cle Elum River,Fish Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=478,21B04S  ,FISW1,8
snotel,553,1999,2017,46.15,-122.15,3440,Snow Water Equivalent,WA,Skamania,Swift Creek,June Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=553,22C09S  ,MRBW1,8
